,timestamp,robot_name,status code,status,xy_coordinate,GPS_coordinate
733,1648560553.95829,tb3_1,1,ACTIVE,"(-15.931530163324338, -34.344364454624845)","(103.81496696734509, 1.3155473410516063)"
734,1648560554.165526,tb3_1,1,ACTIVE,"(-15.880092336845724, -34.32329521232688)","(103.81497159447196, 1.3155492358540672)"
735,1648560554.366321,tb3_1,1,ACTIVE,"(-15.854184244872348, -34.311442335131524)","(103.81497392505304, 1.3155503018087515)"
736,1648560554.577897,tb3_1,1,ACTIVE,"(-15.840026049199189, -34.302960879070405)","(103.81497519866365, 1.3155510645640711)"
737,1648560554.786533,tb3_1,1,ACTIVE,"(-15.831028617954694, -34.296258442579564)","(103.81497600803392, 1.315551667328277)"
738,1648560554.984625,tb3_1,1,ACTIVE,"(-15.826035563391317, -34.29202947780962)","(103.81497645718765, 1.3155520476479352)"
739,1648560555.036724,tb3_1,3,SUCCEEDED,"(-15.825756231226247, -34.291786515889804)","(103.81497648231517, 1.315552069498009)"
740,1648560555.068793,tb3_1,1,ACTIVE,"(-15.825587128744907, -34.29163881743865)","(103.8149764975269, 1.3155520827808396)"
741,1648560555.186494,tb3_1,1,ACTIVE,"(-15.825478774271525, -34.291544085576334)","(103.81497650727401, 1.3155520913002745)"
742,1648560555.393812,tb3_1,1,ACTIVE,"(-15.8219232276265, -34.28843223925706)","(103.8149768271157, 1.3155523711551247)"
743,1648560555.614915,tb3_1,1,ACTIVE,"(-15.806576609031056, -34.275637800574096)","(103.81497820763154, 1.3155535217858012)"
744,1648560555.80811,tb3_1,1,ACTIVE,"(-15.772344433598233, -34.246554938600475)","(103.81498128701088, 1.3155561372684745)"
745,1648560556.031948,tb3_1,1,ACTIVE,"(-15.734778127820361, -34.21602576439681)","(103.81498466631433, 1.3155588828211142)"
746,1648560556.245908,tb3_1,1,ACTIVE,"(-15.69346590251439, -34.185781044028424)","(103.8149883825848, 1.3155616027924286)"
747,1648560556.453451,tb3_1,1,ACTIVE,"(-15.651747342198147, -34.1579994256846)","(103.81499213540755, 1.3155641012519843)"
748,1648560556.684749,tb3_1,1,ACTIVE,"(-15.611489212495544, -34.133542344017)","(103.81499575685635, 1.3155663007291163)"
749,1648560556.870964,tb3_1,1,ACTIVE,"(-15.571003252238006, -34.109500929709014)","(103.81499939879987, 1.3155684628244435)"
750,1648560557.075287,tb3_1,1,ACTIVE,"(-15.525858020801685, -34.08417177504609)","(103.81500345987152, 1.3155707407291093)"
751,1648560557.277135,tb3_1,1,ACTIVE,"(-15.47451004367636, -34.056841532630635)","(103.8150080789157, 1.315573198595971)"
752,1648560557.474938,tb3_1,1,ACTIVE,"(-15.437040325779392, -34.03779805226314)","(103.81501144953114, 1.3155749112167663)"
753,1648560557.6869,tb3_1,1,ACTIVE,"(-15.393371937403538, -34.0155914132423)","(103.81501537775246, 1.3155769083071573)"
754,1648560557.90161,tb3_1,1,ACTIVE,"(-15.355029573041362, -33.995971323220836)","(103.81501882686746, 1.3155786727836647)"
755,1648560558.113906,tb3_1,1,ACTIVE,"(-15.301612948584078, -33.967940451589655)","(103.81502363199833, 1.3155811936596111)"
756,1648560558.3157,tb3_1,1,ACTIVE,"(-15.266677832107696, -33.94918828533176)","(103.81502677461185, 1.3155828800817895)"
757,1648560558.51822,tb3_1,1,ACTIVE,"(-15.261404126951955, -33.946197963367936)","(103.81502724901178, 1.315583149007786)"
758,1648560558.723839,tb3_1,1,ACTIVE,"(-15.26150578727724, -33.94629552168202)","(103.81502723986686, 1.3155831402341633)"
759,1648560558.935919,tb3_1,1,ACTIVE,"(-15.262511206641234, -33.94716892726561)","(103.81502714942366, 1.3155830616869733)"
760,1648560559.141214,tb3_1,1,ACTIVE,"(-15.26373639017226, -33.94853087231785)","(103.81502703921143, 1.3155829392044245)"
761,1648560559.334382,tb3_1,1,ACTIVE,"(-15.264378965011824, -33.949435474605686)","(103.81502698140817, 1.3155828578516693)"
762,1648560559.418982,tb3_1,3,SUCCEEDED,"(-15.264488520498393, -33.949619199142006)","(103.81502697155302, 1.315582841328943)"
763,1648560559.428167,tb3_1,1,ACTIVE,"(-15.264440266362916, -33.94953377334661)","(103.81502697589377, 1.3155828490114605)"
764,1648560559.555439,tb3_1,1,ACTIVE,"(-15.26448724986897, -33.9496156332415)","(103.81502697166734, 1.3155828416496316)"
765,1648560559.775476,tb3_1,1,ACTIVE,"(-15.26342352868511, -33.9477636208786)","(103.81502706735508, 1.315583008204922)"
766,1648560559.98329,tb3_1,1,ACTIVE,"(-15.251287734464606, -33.928008962395104)","(103.8150281590385, 1.3155847847821325)"
767,1648560560.200128,tb3_1,1,ACTIVE,"(-15.23332731860605, -33.89885958190136)","(103.81502977467969, 1.3155874062460857)"
768,1648560560.409834,tb3_1,1,ACTIVE,"(-15.206634707949648, -33.855933770139934)","(103.81503217583126, 1.3155912666529481)"
769,1648560560.645915,tb3_1,1,ACTIVE,"(-15.18368699648728, -33.82061333466273)","(103.81503424010802, 1.3155944430926683)"
770,1648560560.856616,tb3_1,1,ACTIVE,"(-15.155737880124127, -33.78078526699913)","(103.81503675428966, 1.3155980249131616)"
771,1648560561.063969,tb3_1,1,ACTIVE,"(-15.124076183562728, -33.740909757585676)","(103.81503960243926, 1.3156016110003679)"
772,1648560561.261958,tb3_1,1,ACTIVE,"(-15.094758708751678, -33.706103353422435)","(103.81504223971288, 1.3156047412125127)"
773,1648560561.477401,tb3_1,1,ACTIVE,"(-15.056450766409744, -33.66347582606418)","(103.81504568573034, 1.315608574794608)"
774,1648560561.677544,tb3_1,1,ACTIVE,"(-15.021806483249598, -33.62677697057262)","(103.81504880218093, 1.3156118751990027)"
775,1648560561.892382,tb3_1,1,ACTIVE,"(-14.988337262239758, -33.59256185770297)","(103.81505181292802, 1.3156149522353113)"
